UO,IJ,"PROCESSO ADMINISTRATIVO","PROCESSO PAGAMENTO","PROTEÇÃO SOCIAL",PROGRAMA,FAVORECIDO,IDENTIFICAÇÃO,FONTE,NE,NPD,"MÊS PARCELA",VENCIMENTO,VALOR,CONTA,"DATA BORDERÔ",BORDERÔ,"STATUS DA PRESTAÇÃO DE CONTAS",OBSERVAÇÃO
1013,01.2015.1011.0049,01.109641.15.76,01.034715.20.55,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança VII",30.278,84,164,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0050,01.128259.15.70,01.034707.20.27,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança VIII",30.278,85,165,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0052,01.145565.15.53,01.034392.20.18,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança IX",30.278,87,167,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0053,01.145564.15.90,01.034388.20.40,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança XI",30.278,88,201,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0054,01.145567.15.89,01.034389.20.03,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança X",30.278,86,166,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0019,01.105982.14.64,01.034698.20.38,FMDCA,"Aporte extra COVID-19","Associação Árvore da Vida",Abrigo,30.278,89,169,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0017,01.045466.15.57,01.034723.20.83,FMDCA,"Aporte extra COVID-19","Associação Casa Novella","Abrigo/Casa de Acolhida Ravaglia",30.278,92,172,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2013.1011.0024,01.047001.13.32,01.035124.20.04,FMDCA,"Aporte extra COVID-19","Associação Fraternal Amigos do Menor",Abrigo,30.278,93,173,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0033,01.045502.15.19,01.034730.20.49,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol","Abrigo/Casa Tremedal",30.278,96,176,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2013.1011.0033,01.056701.13.45,01.034695.20.40,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol ","Casas Lares/Casa das Meninas",30.278,95,175,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2013.1011.0034,01.056427.13.03,01.034727.20.34,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol ","Casas Lares/Casa dos Irmãos",30.278,94,174,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0034,01.050864.15.59,01.034735.20.62,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol ","Abrigo/Casa dos Pequenos",30.278,98,178,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0037,01.048633.15.01,01.034734.20.08,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol ","Abrigo/Casa Copacabana",30.278,97,177,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0029,01.136653.14.47,01.034703.20.76,FMDCA,"Aporte extra COVID-19","Associação Lucas Magalhaes Karam","Abrigo/Casa Lucas",30.278,90,170,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0040,01.147828.14.50,01.034739.20.13,FMDCA,"Aporte extra COVID-19","Associação Servindo e Protegendo",Abrigo,30.278,91,171,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2013.1011.0027,01.048356.13.01,01.034742.20.28,FMDCA,"Aporte extra COVID-19","Casa de Caridade Herdeiros de Jesus","Abrigo/Lar Francisca Paula II",30.278,99,179,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2013.1011.0026,01.048348.13.75,01.034743.20.90,FMDCA,"Aporte extra COVID-19","Casa de Caridade Herdeiros de Jesus ","Abrigo/Lar Esperança Francisca Paula de Jesus - Unidade I",30.278,100,180,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2016.1006.0028,01.148971.16.21,01.034745.20.16,FMDCA,"Aporte extra COVID-19","Casa de Caridade Herdeiros de Jesus ","Abrigo 12 a 17 anos",30.278,101,228,2020/04/01,2020/04/01,54897.54,71112-4,2020/05/27,13571,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0031,01.065728.15.54,01.034700.20.88,FMDCA,"Aporte extra COVID-19","Casa dos Meninos",Abrigo,30.278,102,181,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2019.1011.0001,01.003725.19.50,01.034764.20.60,FMDCA,"Aporte extra COVID-19","Casa dos Meninos",Abrigo,30.278,103,182,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2013.1011.0052,01.088171.13.03,01.034737.20.98,FMDCA,"Aporte extra COVID-19","Colméia Centro de Educação e Profissão",Abrigo,30.278,106,185,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0015,01.048642.15.94,01.034747.20.41,FMDCA,"Aporte extra COVID-19","Colméia Centro de Educação e Profissão",Abrigo,30.278,104,183,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2013.1011.0030,01.050987.13.37,01.034693.20.14,FMDCA,"Aporte extra COVID-19","Fundação Oásis","Abrigo/Abrigo Infantil Pro Criança",30.278,107,186,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2013.1011.0076,01.156606.13.39,01.034748.20.04,FMDCA,"Aporte extra COVID-19","Grupo da Fraternidade Espírita Irmã Scheilla",Abrigo,30.278,104,184,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0020,01.108592.14.46,01.034716.20.18,FMDCA,"Aporte extra COVID-19","Grupo de Desenvolvimento Comunitário","Casa dos Anjos",30.278,108,187,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2016.1013.0018,01.163153.16.59,01.034750.20.56,FMDCA,"Aporte extra COVID-19","Instituto de Promoção Social e Humana Darcy Ribeiro","Casa dos Bebês",30.278,120,199,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2016.1006.0015,01.102165.16.34,01.034756.20.32,FMDCA,"Aporte extra COVID-19","Instituto Jurídico para Efetivação da Cidadania e Saúde - Avante Social","Casa Tia Branca",30.278,109,188,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2016.1006.0016,01.102208.16.45,01.034751.20.19,FMDCA,"Aporte extra COVID-19","Instituto Jurídico para Efetivação da Cidadania e Saúde - Avante Social","Casa Travessia",30.278,110,189,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2016.1006.0027,01.162665.16.25,01.034757.20.03,FMDCA,"Aporte extra COVID-19","Instituto Jurídico para Efetivação da Cidadania e Saúde - Avante Social","Casa Nosso Lar",30.278,113,192,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2016.1006.0029,01.161587.16.88,01.034753.20.44,FMDCA,"Aporte extra COVID-19","Instituto Jurídico para Efetivação da Cidadania e Saúde - Avante Social","Casa Bola de Gude",30.278,112,191,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2016.1006.0030,01.153570.16.20,01.034755.20.70,FMDCA,"Aporte extra COVID-19","Instituto Jurídico para Efetivação da Cidadania e Saúde - Avante Social","Casa Aquarela",30.278,111,190,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0021,01.045601.15.09,01.034763.20.06,FMDCA,"Aporte extra COVID-19","Lar da Fraternidade Irmão Fábio",Abrigo,30.278,114,193,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0036,01.054148.15.22,01.034717.20.80,FMDCA,"Aporte extra COVID-19","Núcleo Assistencial Caminhos para Jesus",Abrigo/PcD,30.278,115,194,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0026,01.069065.14.20,01.034759.20.20,FMDCA,"Aporte extra COVID-19","Núcleo de Composição de Parcerias em Projetos & Ações - O Proação","Abrigo/Mãos de Maria",30.278,117,196,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0018,01.057438.15.19,01.034761.20.72,FMDCA,"Aporte extra COVID-19","Núcleo de Composição de Parcerias em Projetos & Ações - O Proação","Abrigo/Filhos de Nazaré",30.278,116,195,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0043,01.089948.15.55,01.034721.20.58,FMDCA,"Aporte extra COVID-19","Projeto Social Batista Regular","Abrigo 7 a 11 anos",30.278,118,197,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2016.1006.0023,01.052859.16.70,01.057430.20.74,FMDCA,"Aporte extra COVID-19","Providens Ação Social Arquidiocesana","Família Acolhedora",30.278,147,257,2020/07/01,2020/08/13,30000,71112-4,2020/08/18,19797,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0038,01.081630.15.62,01.034760.20.00,FMDCA,"Aporte extra COVID-19","TJ Criança Abriga",Abrigo,30.278,119,198,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1018,01.2013.1011.0069,01.155780.13.09,01.031738.20.44,FUMID,"Aporte extra COVID-19","Abrigo Frei Otto",ILPI,30.278,35,76,2020/04/01,2020/04/03,60000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0063,01.144314.13.26,01.031730.20.32,FUMID,"Aporte extra COVID-19","Asilo Nossa Senhora da Piedade",ILPI,30.278,36,82,2020/04/01,2020/04/01,117000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2015.1011.0055,01.162277.15.45,01.031732.20.68,FUMID,"Aporte extra COVID-19","Associação Assistencial Amor Fraterno",ILPI,30.278,37,77,2020/04/01,2020/04/03,66000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0068,01.155082.13.04,01.031733.20.20,FUMID,"Aporte extra COVID-19","Associação Cristã Feminina de Belo Horizonte",ILPI,30.278,38,79,2020/04/01,2020/04/01,60000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0022,01.185052.12.41,01.031735.20.56,FUMID,"Aporte extra COVID-19","Associação de Resgate da Dignidade Humana Providência Divina","ILPI - Lar São José",30.278,39,81,2020/04/01,2020/04/01,234000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0080,01.144318.13.87,01.031737.20.81,FUMID,"Aporte extra COVID-19","Beneficência Franciscana","ILPI - Lar Frei Zacarias",30.278,40,83,2020/04/01,2020/04/01,96000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0071,01.155363.13.01,01.031728.20.90,FUMID,"Aporte extra COVID-19","Cidade Ozanan Obra Unida da Ssvp",ILPI,30.278,41,91,2020/04/01,2020/04/03,270000,71105-1,2020/04/24,10938,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0067,01.155374.13.10,01.031724.20.30,FUMID,"Aporte extra COVID-19","Conselho Central de Belo Horizonte da Ssvp","ILPI - Lar dos Idosos Clotilde Martins",30.278,42,99,2020/04/01,2020/04/01,105000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0074,01.156073.13.59,01.031720.20.89,FUMID,"Aporte extra COVID-19","Conselho Central de Belo Horizonte da Ssvp","ILPI - Paulo Fagundes da Fonseca ROT",30.278,43,98,2020/04/01,2020/04/01,240000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2014.1011.0037,01.117205.14.07,01.031757.20.99,FUMID,"Aporte extra COVID-19","Conselho Central de Belo Horizonte da Ssvp","ILPI - Lar Santa Rita de Cássia",30.278,44,97,2020/04/01,2020/04/01,90000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2012.1011.0023,01.100446.12.29,01.031764.20.54,FUMID,"Aporte extra COVID-19","Conselho Central de Belo Horizonte da Ssvp ","ILPI- Lar das Idosas Stª Tereza e Stª Terezinha",30.278,46,96,2020/04/01,2020/04/01,57000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0064,01.146899.13.82,01.031718.20.37,FUMID,"Aporte extra COVID-19","Conselho Particular Nossa Senhora da Abadia - Ssvp",ILPI,30.278,47,90,2020/04/01,2020/04/03,21000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2015.1011.0056,01.162282.15.85,01.031716.20.01,FUMID,"Aporte extra COVID-19","Fundação Oásis",ILPI,30.278,48,78,2020/04/01,2020/04/01,78000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0072,01.155732.13.58,01.031715.20.49,FUMID,"Aporte extra COVID-19","Lar Cristo Rei",ILPI,30.278,49,108,2020/04/01,2020/04/01,147000,71105-1,2020/05/04,11492,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2019.1018.0018,01.098456.12.07,01.032875.20.50,FUMID,"Aporte extra COVID-19","Lar das Idosas Santa Gema de Galgani da Ssvp",ILPI,30.278,50,101,2020/04/01,2020/04/03,60000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2011.1011.0042,01.178745.11.05,01.031713.20.13,FUMID,"Aporte extra COVID-19","Lar de Idosas Padre Leopoldo Mertens da Ssvp",ILPI,30.278,51,94,2020/04/01,2020/04/01,150000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0066,01.155077.13.74,01.031712.20.50,FUMID,"Aporte extra COVID-19","Lar Dona Paula da Ssvp",ILPI,30.278,52,95,2020/04/01,2020/04/01,168000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2011.1011.0040,01.184394.11.09,01.031710.20.25,FUMID,"Aporte extra COVID-19","Lar dos Idosos Nossa Senhora da Saúde da Ssvp",ILPI,30.278,53,89,2020/04/01,2020/04/01,60000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0046,01.065369.13.91,01.031708.20.83,FUMID,"Aporte extra COVID-19","Lar dos Idosos Recanto dos Amigos",ILPI,30.278,54,84,2020/04/01,2020/04/01,66000,71105-1,2020/04/24,10938,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0070,01.155779.13.11,01.031707.20.10,FUMID,"Aporte extra COVID-19","Lar dos Idosos Santo Antônio de Pádua de Venda Nova da Ssvp",ILPI,30.278,55,102,2020/04/01,2020/04/01,114000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2020.1018.0002,01.137679.19.80,01.034150.20.89,FUMID,"Aporte extra COVID-19","Lar dos Idosos Santo Antônio de Pádua de Venda Nova da Ssvp",ILPI,30.278,60,109,2020/04/01,2020/04/01,320108.69,71105-1,2020/05/04,11492,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2020.1018.0002,01.137679.19.80,01.034150.20.89,FUMID,"Aporte extra COVID-19","Lar dos Idosos Santo Antônio de Pádua de Venda Nova da Ssvp",ILPI,30.278,74,122,2020/08/01,2020/08/03,9747.38,71105-1,2020/08/03,18645,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0060,01.080777.13.73,01.031706.20.58,FUMID,"Aporte extra COVID-19","Lar Senhor Bom Jesus",ILPI,30.278,56,93,2020/04/01,2020/04/01,75000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0062,01.144080.13.17,01.031705.20.95,FUMID,"Aporte extra COVID-19","Núcleo Assistencial Caminhos para Jesus",ILPI,30.278,57,100,2020/04/01,2020/04/01,126000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0082,01.172843.13.65,01.031704.20.22,FUMID,"Aporte extra COVID-19","Providens Ação Social Arquidiocesana","ILPI - Casa de Santa Zita",30.278,59,85,2020/04/01,2020/04/01,90000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1018,01.2013.1011.0079,01.170123.13.65,01.031700.20.71,FUMID,"Aporte extra COVID-19","Sociedade Amparo a Pobreza",ILPI,30.278,58,80,2020/04/01,2020/04/01,111000,71105-1,2020/04/22,10818,REGULAR,"Repasse regulamento pela DELIBERAÇÃO CMI/BH Nº 03/2020"
1011,01.2015.1011.0020,01.048130.15.82,01.085370.20.52,PSE-AC,"Aporte extra COVID-19","Abrigo Lar Cristão de Belo Horizonte","Casa Gênesis/Unidade I",40156,5867,6636,2020/11/01,2020/11/07,18183.53,23127-4,2020/12/29,32323,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMAS/BH Nº 020/2020"
1011,01.2014.1011.0022,01.068225.14.69,01.085371.20.15,PSE-AC,"Aporte extra COVID-19","Abrigo Lar Cristão de Belo Horizonte","Casa Hosana/Unidade III",40156,5900,6715,2020/11/01,2020/12/07,18183.53,23127-4,2020/12/29,32323,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMAS/BH Nº 020/2020"
1011,01.2015.1011.0019,01.048142.15.61,01.085374.20.03,PSE-AC,"Aporte extra COVID-19","Abrigo Lar Cristão de Belo Horizonte","Casa Hosana/Unidade III",40156,5868,6716,2020/11/01,2020/12/07,18183.53,23127-4,2020/12/29,32323,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMAS/BH Nº 020/2020"
1011,01.2019.1011.0006,01.111238.19.40,01.085378.20.64,PSE-AC,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Abrigo para mulheres",40229,5945,6795,2020/11/01,2020/12/07,78627.52,22010-8,2020/12/30,32528,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMAS/BH Nº 020/2020"
1011,01.2014.1011.0032,01.132175.14.05,01.085380.20.06,PSE-AC,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança VI",40156,5905,6711,2020/11/01,2020/12/07,13735.48,23127-4,2020/12/29,32323,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMAS/BH Nº 020/2020"
