"SAMU ARAPIRACA",96560,5,7,9656002,200,560.87,2021/01/04,,,,2,,,51,,,,10,,,,,,,,,,,
"Unidade NOELIA LESSA",939,3,5,93906,40,56.62,2021/01/04,,,,,7,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",6938,4,6,693810,48,161.77,2021/01/04,,,,,,,,20,,,,,,,,,,,,,,
"SAMU MACEIÓ",6934,4,6,693410,48,97.45,2021/01/04,,,,6,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",6942,4,6,694210,48,698.4,2021/01/05,,,,3,,,40,,,,,,,,,,,,,,,
HGE,950,3,5,95006,40,1639.77,2021/01/05,,,,3,,,,20,66,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",6947,4,6,694710,48,16.24,2021/01/05,1,,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",604,3,5,60402,32,154.07,2021/01/05,6,,,,7,,,,,,,,,,,,,,,,,
"Hospital da Mulher",945,3,5,94506,40,146.18,2021/01/05,3,,,5,,,1,,,,,,,,,,,,,,,
"SAMU MACEIÓ",6956,4,6,695610,48,113.7,2021/01/06,,,,4,,,3,,,,,,,,,,,,,,,
HGE,957,3,5,95706,40,516.23,2021/01/06,,,,2,28,6.6,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",6959,4,6,695910,48,32.48,2021/01/06,2,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",965,3,5,96506,40,113.69,2021/01/06,2,,,5,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",6966,4,6,696610,48,97.45,2021/01/07,,,,4,,,2,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96623,5,7,9662302,200,372.47,2021/01/07,,,,,,,43,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96625,5,7,9662502,200,720.05,2021/01/07,,,,7,,,,,,28,,,,,,,,,,,,
HGE,972,3,5,97206,40,744.78,2021/01/07,,,,1,42,,,30,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",6973,4,6,697310,48,32.48,2021/01/07,2,,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",342,3,5,34215,58,10147.41,2021/01/07,,5733,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",616,3,5,61602,32,32.48,2021/01/07,2,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",970,3,5,97006,40,81.21,2021/01/07,1,,,4,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas-Backup",341,3,5,34115,58,908.01,2021/01/07,,513,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",986,3,5,98606,40,97.45,2021/01/08,2,,,4,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",6979,4,6,697910,48,48.73,2021/01/08,3,,,,,,,,,,,,,,,,,,,,,
HGE,980,3,5,98006,40,550.47,2021/01/08,,,,7,14,,,40,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",979,3,5,97906,40,113.24,2021/01/08,,,,,14,,,,,,,,,,,,,,,,,
"Unidade NOELIA LESSA",978,3,5,97806,40,113.24,2021/01/08,,,,,14,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",6980,4,6,698010,48,276.11,2021/01/08,,,,9,,,8,,,,,,,,,,,,,,,
"Unidade Mista Dr. Antônio Serpa",47106,5,7,4710699,99,113.69,2021/01/09,,,5,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",47092,5,7,4709299,99,454.77,2021/01/09,,,20,,,,,,,,,,,,,,,,,,,
"Unidade Mista Senador Arnon Afonso Farias de Melo",47102,5,7,4710299,99,90.95,2021/01/09,,,4,,,,,,,,,,,,,,,,,,,
HGE,47103,5,7,4710399,99,1568.96,2021/01/09,,,69,,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",47127,5,7,4712799,99,682.16,2021/01/09,,,30,,,,,,,,,,,,,,,,,,,
HEMOAL,47095,5,7,4709599,99,68.22,2021/01/09,,,3,,,,,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",47107,5,7,4710799,99,386.55,2021/01/09,,,17,,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",6987,4,6,698710,48,292.35,2021/01/09,,,,2,,,16,,,,,,,,,,,,,,,
"Hospital da Mulher",991,3,5,99106,40,48.72,2021/01/09,1,,,2,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",992,3,5,99206,40,64.97,2021/01/09,,,,4,,,,,,,,,,,,,,,,,,
HGE,989,3,5,98906,40,194.57,2021/01/09,,,,7,,,,10,,,,,,,,,,,,,,
HGE,343,3,5,34315,58,33270.69,2021/01/09,,18797,,,,,,,,,,,,,,,,,,,,
"UNIDADE MISTA QUITÉRIA BEZERRA DE MELO",47105,5,7,4710599,99,113.69,2021/01/09,,,5,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",6993,4,6,699310,48,32.48,2021/01/09,2,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",995,3,5,99506,40,16.24,2021/01/10,,,,1,,,,,,,,,,,,,,,,,,
HGE,997,3,5,99706,40,81.21,2021/01/10,,,,5,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",276,3,5,27609,46,18627.48,2021/01/11,,10524,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",999,3,5,99906,40,64.97,2021/01/11,1,,,3,,,,,,,,,,,,,,,,,,
HGE,1001,4,6,100106,40,606.76,2021/01/11,,,,2,21,,,50,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",1007,4,6,100706,40,64.97,2021/01/11,4,,,,,,,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",7013,4,6,701310,48,242.65,2021/01/11,,,,,,,,30,,,,,,,,,,,,,,
"SAMU MACEIÓ",6998,4,6,699810,48,16.24,2021/01/11,,,,1,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",6997,4,6,699710,48,129.93,2021/01/11,,,,8,,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7020,4,6,702010,48,242.65,2021/01/12,,,,,,,,30,,,,,,,,,,,,,,
"SAMU MACEIÓ",7015,4,6,701510,48,280.45,2021/01/12,,,,6,,,7,,,,8,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96672,5,7,9667202,200,97.45,2021/01/12,,,,6,,,,,,,,,,,,,,,,,,
HGE,1010,4,6,101006,40,631.02,2021/01/12,,,,2,14,,,60,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7021,4,6,702110,48,64.97,2021/01/12,4,,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",624,3,5,62402,32,97.45,2021/01/12,6,,,,,,,,,,,,,,,,,,,,,
"Unidade Mista Senador Arnon Afonso Farias de Melo",96666,5,7,9666602,200,566.19,2021/01/12,,,,,,,,70,,,,,,,,,,,,,,
"Unidade Mista Senador Arnon Afonso Farias de Melo",2254,4,6,225421,73,80.88,2021/01/12,,,,,,,,10,,,,,,,,,,,,,,
HGE,7023,4,6,702310,48,178.66,2021/01/12,,,,11,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1017,4,6,101706,40,81.21,2021/01/12,1,,,4,,,,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96669,5,7,9666902,200,32.48,2021/01/12,,,,2,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1018,4,6,101806,40,48.73,2021/01/13,,,,3,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",297,3,5,29704,36,3440.88,2021/01/13,,1944,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",96689,5,7,9668902,200,81.21,2021/01/13,1,,,3,,,,,,,,,,,,,,,,,,
HGE,1024,4,6,102406,40,291.38,2021/01/13,,,,3,,,,30,,,,,,,,,,,,,,
"Hospital da Mulher",1027,4,6,102706,40,48.73,2021/01/13,,,,3,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7032,4,6,703210,48,503.49,2021/01/14,,,,7,,,24,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7035,4,6,703510,48,64.97,2021/01/14,4,,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",632,3,5,63202,32,72.86,2021/01/14,1,,,,7,,,,,,,,,,,,,,,,,
"Hosp.Centro Ref.de Porto Calvo",635,3,5,63502,32,48.73,2021/01/14,3,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1035,4,6,103506,40,404.68,2021/01/14,1,,,3,42,,,,,,,,,,,,,,,,,
HGE,1032,4,6,103206,40,1819.66,2021/01/14,,,,5,35,,,30,,56,,,,,,,,,,,,
"SAMU ARAPIRACA",96701,5,7,9670102,200,155.92,2021/01/14,,,,,,,18,,,,,,,,,,,,,,,
"Hospital da Mulher",1045,4,6,104506,40,81.21,2021/01/15,1,,,4,,,,,,,,,,,,,,,,,,
HGE,1041,4,6,104106,40,388.44,2021/01/15,,,,3,42,,,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1039,4,6,103906,40,56.62,2021/01/15,,,,,7,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7041,4,6,704110,48,133.18,2021/01/15,,,,5,,,,,,,6,,,,,,,,,,,
"SAMU MACEIÓ",7053,4,6,705310,48,341.07,2021/01/16,,,,7,,,14,,,,,,,,,,,,,,,
"Hospital da Mulher",1050,4,6,105006,40,32.48,2021/01/16,,,,2,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7058,4,6,705810,48,64.97,2021/01/16,4,,,,,,,,,,,,,,,,,,,,,
HGE,1047,4,6,104706,40,370.96,2021/01/16,,,,7,,6.6,,,,,,,,,,,,,,,,
HEMOAL,1048,4,6,104806,40,186.1,2021/01/16,,,,1,21,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",277,3,5,27709,46,20767.41,2021/01/17,,11733,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1059,4,6,105906,40,64.97,2021/01/17,1,,,3,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1060,4,6,106006,40,16.24,2021/01/17,1,,,,,,,,,,,,,,,,,,,,,
HGE,1056,4,6,105606,40,97.45,2021/01/17,,,,6,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1054,4,6,105406,40,113.69,2021/01/17,,,,7,,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7072,4,6,707210,48,242.65,2021/01/18,,,,,,,,30,,,,,,,,,,,,,,
"SAMU MACEIÓ",7061,4,6,706110,48,308.6,2021/01/18,,,,4,,,15,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96721,5,7,9672102,200,97.45,2021/01/18,,,,6,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1066,4,6,106606,40,81.21,2021/01/18,1,,,4,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1067,4,6,106706,40,16.24,2021/01/18,1,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96728,5,7,9672802,200,752.54,2021/01/18,,,,9,,,,,,28,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7070,4,6,707010,48,32.48,2021/01/18,2,,,,,,,,,,,,,,,,,,,,,
HGE,1063,4,6,106306,40,64.97,2021/01/18,,,,4,,,,,,,,,,,,,,,,,,
HGE,334,3,5,33408,44,35479.65,2021/01/18,,20045,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",1068,4,6,106806,40,64.97,2021/01/18,4,,,,,,,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96722,5,7,9672202,200,64.97,2021/01/18,,,,4,,,,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96727,5,7,9672702,200,48.73,2021/01/18,,,,3,,,,,,,,,,,,,,,,,,
HGE,1075,4,6,107506,40,131.01,2021/01/19,,,,7,,,,,,,2,,,,,,,,,,,
"Unidade e Centro de Referência de União",646,3,5,64602,32,170.31,2021/01/19,5,,,,7,,2,,,,,,,,,,,,,,,
"Hospital da Mulher",1081,4,6,108106,40,194.57,2021/01/19,2,,,5,,,,10,,,,,,,,,,,,,,
"Unidade NOELIA LESSA",1073,4,6,107306,40,56.62,2021/01/19,,,,,7,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7077,4,6,707710,48,243.62,2021/01/19,,,,6,,,9,,,,,,,,,,,,,,,
"Hospital da Mulher",1092,4,6,109206,40,81.21,2021/01/20,1,,,4,,,,,,,,,,,,,,,,,,
HGE,1087,4,6,108706,40,542.31,2021/01/20,,,,6,35,,,20,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7090,4,6,709010,48,48.73,2021/01/20,3,,,,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7095,4,6,709510,48,328.07,2021/01/20,,,,2,,,15,,,,6,,,,,,,,,,,
"SAMU MACEIÓ",7083,4,6,708310,48,276.11,2021/01/20,,,,6,,,11,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96766,5,7,9676602,200,648.58,2021/01/21,,,,1,,,69,,,,4,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96768,5,7,9676802,200,448.27,2021/01/21,,,,6,,,,,,,,,,,9,,,,,,,
"Hospital da Mulher",1101,4,6,110106,40,429.27,2021/01/21,3,,,6,35,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1103,4,6,110306,40,16.24,2021/01/21,1,,,,,,,,,,,,,,,,,,,,,
HGE,1096,4,6,109606,40,957.77,2021/01/21,,,,5,35,,,30,,,,9,,,,,,,,,,
"H.Metropolitano de Alagoas",7103,4,6,710310,48,32.48,2021/01/21,2,,,,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7099,4,6,709910,48,97.45,2021/01/21,,,,6,,,,,,,,,,,,,,,,,,
"Unidade NOELIA LESSA",1095,4,6,109506,40,113.24,2021/01/21,,,,,14,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7108,4,6,710810,48,97.45,2021/01/22,,,,6,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1116,4,6,111606,40,388.9,2021/01/22,4,,,5,28,,1,,,,,,,,,,,,,,,
HGE,1111,4,6,111106,40,445.18,2021/01/22,,,,5,35,,,10,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7112,4,6,711210,48,64.97,2021/01/22,4,,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",184,3,5,18413,54,10267.77,2021/01/22,,5801,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1123,4,6,112306,40,154.07,2021/01/23,2,,,3,7,,1,,,,,,,,,,,,,,,
HGE,1118,4,6,111806,40,380.54,2021/01/23,,,,4,35,,2,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7123,4,6,712310,48,64.97,2021/01/23,4,,,,,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7125,4,6,712510,48,80.88,2021/01/23,,,,,,,,10,,,,,,,,,,,,,,
"SAMU MACEIÓ",7119,4,6,711910,48,535.98,2021/01/23,,,,6,,,27,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1125,4,6,112506,40,64.97,2021/01/24,,,,4,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1126,4,6,112606,40,48.72,2021/01/24,1,,,2,,,,,,,,,,,,,,,,,,
HGE,1128,4,6,112806,40,162.42,2021/01/24,,,,10,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1135,4,6,113506,40,154.07,2021/01/25,1,,,5,7,,,,,,,,,,,,,,,,,
HGE,1133,4,6,113306,40,706.77,2021/01/25,,,,1,42,,,,,,,9,,,,,,,,,,
"Hosp.Centro Ref.de Porto Calvo",349,3,5,34903,34,5694.09,2021/01/25,,3217,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7137,4,6,713710,48,32.48,2021/01/25,2,,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",350,3,5,35003,34,3315.21,2021/01/25,,1873,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",96801,5,7,9680102,200,81.21,2021/01/25,3,,,,,,2,,,,,,,,,,,,,,,
"Hospital da Mulher",1137,4,6,113706,40,16.24,2021/01/25,,,,,,,1,,,,,,,,,,,,,,,
"SAMU MACEIÓ",96809,5,7,9680902,200,357.31,2021/01/25,,,,,,,22,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1136,4,6,113606,40,16.24,2021/01/25,,,,1,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7131,4,6,713110,48,148.34,2021/01/25,,,,7,,,,,,,4,,,,,,,,,,,
"Unidade NOELIA LESSA",1141,4,6,114106,40,56.62,2021/01/26,,,,,7,,,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",7146,4,6,714610,48,80.88,2021/01/26,,,,,,,,10,,,,,,,,,,,,,,
"SAMU MACEIÓ",7143,4,6,714310,48,132.1,2021/01/26,,,,6,,,,,,,4,,,,,,,,,,,
"Unidade Denilma Bulhoes",7151,4,6,715110,48,16.24,2021/01/26,,,,,,,1,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",96820,5,7,9682002,200,64.97,2021/01/26,,,,,,,4,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7153,4,6,715310,48,80.88,2021/01/26,,,,,,,,10,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96818,5,7,9681802,200,328.08,2021/01/26,,,,1,,,36,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96817,5,7,9681702,200,178.66,2021/01/26,,,,11,,,,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1142,4,6,114206,40,113.24,2021/01/26,,,,,14,,,,,,,,,,,,,,,,,
"Unidade Mista Senador Arnon Afonso Farias de Melo",2266,4,6,226621,73,566.19,2021/01/26,,,,,,,,70,,,,,,,,,,,,,,
"UNIDADE MISTA QUITÉRIA BEZERRA DE MELO",2267,4,6,226721,73,906.62,2021/01/26,6,,,5,,,,90,,,,,,,,,,,,,,
HGE,1143,4,6,114306,40,1593.19,2021/01/26,,,,5,7,,,30,,56,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7147,4,6,714710,48,48.73,2021/01/26,3,,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",659,3,5,65902,32,267.31,2021/01/26,6,,,,21,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1146,4,6,114606,40,242.98,2021/01/26,1,,,4,,,,20,,,,,,,,,,,,,,
"SAMU MACEIÓ",7154,4,6,715410,48,113.7,2021/01/27,,,,3,,,4,,,,,,,,,,,,,,,
HGE,7159,4,6,715910,48,113.36,2021/01/27,,,,2,,,,10,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas-Backup",199,3,5,19924,77,932.79,2021/01/27,,527,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7166,4,6,716610,48,16.24,2021/01/27,1,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",7162,4,6,716210,48,307.62,2021/01/27,,,,4,,,,30,,,,,,,,,,,,,,
"SAMU MACEIÓ",7170,4,6,717010,48,146.18,2021/01/28,,,,9,,,,,,,,,,,,,,,,,,
HGE,1151,4,6,115106,40,759.4,2021/01/28,,,,10,42,6.6,,,,,,,,,,,,,,,,
HGE,185,3,5,18513,54,32656.5,2021/01/28,,18450,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7179,4,6,717910,48,32.48,2021/01/28,2,,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",669,3,5,66902,32,81.21,2021/01/28,1,,,,,,4,,,,,,,,,,,,,,,
"Hospital da Mulher",1154,4,6,115406,40,137.83,2021/01/28,2,,,3,7,,,,,,,,,,,,,,,,,
"Hospital da Mulher",278,3,5,27809,46,23033.01,2021/01/29,,13013,,,,,,,,,,,,,,,,,,,,
HGE,1158,4,6,115806,40,954.82,2021/01/29,,,,6,56,,,50,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1157,4,6,115706,40,84.93,2021/01/29,,,,,7,,,,,,,,,3.5,,,,,,,,
"Hospital da Mulher",1164,4,6,116406,40,97.45,2021/01/29,2,,,3,,,1,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96863,5,7,9686302,200,407.12,2021/01/29,,,,,,,45,,,,2,,,,,,,,,,,
"SAMU MACEIÓ",7191,4,6,719110,48,506.74,2021/01/29,,,,8,,,20,,,,6,,,,,,,,,,,
"SAMU MACEIÓ",7194,4,6,719410,48,48.73,2021/01/30,,,,3,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1169,4,6,116906,40,80.88,2021/01/30,,,,,,,,10,,,,,,,,,,,,,,
HGE,1175,4,6,117506,40,369.03,2021/01/30,,,,3,,,,,,,,,39.6,,,,,,,,,
HGE,1179,4,6,117906,40,146.18,2021/01/31,,,,9,,,,,,,,,,,,,,,,,,
,,,,,481,192,382.79999999999995,138800,644,106,66,574,1110,66,36,112,499.2,30,7,,"Oxigenio Medicinal Cil PP",(Tudo),,,,,
