UO,IJ,"PROCESSO ADMINISTRATIVO","PROCESSO PAGAMENTO","PROTEÇÃO SOCIAL",PROGRAMA,FAVORECIDO,IDENTIFICAÇÃO,FONTE,NE,NPD,"MÊS PARCELA",VENCIMENTO,VALOR,CONTA,"DATA BORDERÔ",BORDERÔ,"STATUS DA PRESTAÇÃO DE CONTAS",OBSERVAÇÃO,"METAS PACTUADAS/REPACTUADAS"
1013,01.2015.1011.0049,01.109641.15.76,01.034715.20.55,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança VII",30.278,84,164,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0050,01.128259.15.70,01.034707.20.27,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança VIII",30.278,85,165,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0052,01.145565.15.53,01.034392.20.18,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança IX",30.278,87,167,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0053,01.145564.15.90,01.034388.20.40,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança XI",30.278,88,201,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0054,01.145567.15.89,01.034389.20.03,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança X",30.278,86,166,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2014.1011.0019,01.105982.14.64,01.034698.20.38,FMDCA,"Aporte extra COVID-19","Associação Árvore da Vida",Abrigo,30.278,89,169,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0017,01.045466.15.57,01.034723.20.83,FMDCA,"Aporte extra COVID-19","Associação Casa Novella","Abrigo/Casa de Acolhida Ravaglia",30.278,92,172,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2013.1011.0024,01.047001.13.32,01.035124.20.04,FMDCA,"Aporte extra COVID-19","Associação Fraternal Amigos do Menor",Abrigo,30.278,93,173,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0033,01.045502.15.19,01.034730.20.49,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol","Abrigo/Casa Tremedal",30.278,96,176,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2013.1011.0033,01.056701.13.45,01.034695.20.40,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol ","Casas Lares/Casa das Meninas",30.278,95,175,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2013.1011.0034,01.056427.13.03,01.034727.20.34,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol ","Casas Lares/Casa dos Irmãos",30.278,94,174,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0034,01.050864.15.59,01.034735.20.62,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol ","Abrigo/Casa dos Pequenos",30.278,98,178,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0037,01.048633.15.01,01.034734.20.08,FMDCA,"Aporte extra COVID-19","Associação Irmão Sol ","Abrigo/Casa Copacabana",30.278,97,177,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2014.1011.0029,01.136653.14.47,01.034703.20.76,FMDCA,"Aporte extra COVID-19","Associação Lucas Magalhaes Karam","Abrigo/Casa Lucas",30.278,90,170,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2014.1011.0040,01.147828.14.50,01.034739.20.13,FMDCA,"Aporte extra COVID-19","Associação Servindo e Protegendo",Abrigo,30.278,91,171,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2013.1011.0027,01.048356.13.01,01.034742.20.28,FMDCA,"Aporte extra COVID-19","Casa de Caridade Herdeiros de Jesus","Abrigo/Lar Francisca Paula II",30.278,99,179,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2013.1011.0026,01.048348.13.75,01.034743.20.90,FMDCA,"Aporte extra COVID-19","Casa de Caridade Herdeiros de Jesus ","Abrigo/Lar Esperança Francisca Paula de Jesus - Unidade I",30.278,100,180,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2016.1006.0028,01.148971.16.21,01.034745.20.16,FMDCA,"Aporte extra COVID-19","Casa de Caridade Herdeiros de Jesus ","Abrigo 12 a 17 anos",30.278,101,228,2020/04/01,2020/04/01,54897.54,71112-4,2020/05/27,13571,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0031,01.065728.15.54,01.034700.20.88,FMDCA,"Aporte extra COVID-19","Casa dos Meninos",Abrigo,30.278,102,181,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2019.1011.0001,01.003725.19.50,01.034764.20.60,FMDCA,"Aporte extra COVID-19","Casa dos Meninos",Abrigo,30.278,103,182,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2013.1011.0052,01.088171.13.03,01.034737.20.98,FMDCA,"Aporte extra COVID-19","Colméia Centro de Educação e Profissão",Abrigo,30.278,106,185,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
1013,01.2015.1011.0015,01.048642.15.94,01.034747.20.41,FMDCA,"Aporte extra COVID-19","Colméia Centro de Educação e Profissão",Abrigo,30.278,104,183,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020","Disponibilização excepcional de recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte – FMDCA/BH, para o apoio as organizações da sociedade civil com registro e inscrição de programa (s) de proteção e/ou socioeducativo (s) no CMDCA/BH, em conformidade com o disposto nos artigos 90 e 91 da Lei Federal nº 8.069/1990 - Estatuto da Criança e do Adolescente, objetivando ações suplementares e emergenciais para a garantia dos direitos das crianças e adolescentes na prevenção da contaminação pelo Coronavírus - COVID-19"
