Contratada,"Nº Processo","Tipo de contrato","Tipo de processo","Data do Ateste","Data do Pagamento","Nº Empenho","Tipo Rubrica",PTRES,"Nº Ordem Bancária",Justificativa,Tema,"IDN Nota Fiscal","Nº Nota Fiscal","Valor bruto da contratada","Valor líquido da contratada","Veículo / Fornecedor","Valor bruto do fornecedor","Valor líquido do fornecedor","Nome fantasia do veículo","Grupo / Editora",Meios,"Tipo da praça de veiculação","Praças de Veiculação"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004130/2019-88,Publicidade,Midia,2019/12/18,2019/12/27,2019NE800085,Institucional,107783,2019OB801445,,"Ação de oportunidade - Dia da Amazônia",320589,13587,76308.75,74567.7,"22.605.990/0001-24 / TEADS BRASIL SOLUCOES EM PROPAGANDA E VIDEO LIMITADA",64260,58187.43,Teads.tv,,Internet,Exterior,"ALEMANHA,ESTADOS UNIDOS"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004131/2019-22,Publicidade,Produção,2019/12/19,2019/12/27,2019NE800085,Institucional,107783,2019OB801433,,"Brasil no exterior II - Pós-prorrogação contratual",318648,13151,26112,26112,"22.380.095/0001-59 / VAPT FILMES PRODUCOES EIRELI",26112,23644.42,,,"AUDIO E VIDEO - VERSÃO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004134/2019-66,Publicidade,Produção,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801442,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",308604,11221,850,850,"05.908.050/0001-95 / R2LABS TECNOLOGIA DA INFORMACAO E COMERCIO LTDA",850,850,,,"INTERNET - PRODUCAO / CONFECCAO (SIMPLES)",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004134/2019-66,Publicidade,Midia,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801442,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",320581,13579,16396.1,16022.01,"05.881.258/0007-53 / ELEMIDIA CONSULTORIA E SERVICOS DE MARKETING S.A.",13807.25,12502.46,"ELEMÍDIA BRASÍLIA",,"Mídia Exterior Digital",Regional,"BRASILIA - DF"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004134/2019-66,Publicidade,Midia,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801442,,"Segurança Pública",320587,13585,3617.6,3535.06,"07.087.880/0001-24 / RADIO LIDERANCA LTDA",3046.4,2758.52,"LIDERANÇA FM",,Rádio,Regional,"FORTALEZA - CE"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004134/2019-66,Publicidade,Midia,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801442,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",320586,13584,784.7,766.79,"03.557.940/0001-74 / FUNDACAO DOM JOSE ANTONIO DO COUTO",660.8,660.8,"CULTURA 790 AM",,Rádio,Regional,"TAUBATE - SP"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004134/2019-66,Publicidade,Midia,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801442,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",320585,13583,1579.09,1543.06,"02.921.377/0001-09 / RADIO TROPICAL AM LTDA",1329.76,1329.76,"RÁDIO 610",,Rádio,Regional,"LUZIANIA - GO"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004134/2019-66,Publicidade,Midia,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801442,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",320584,13582,2505.72,2448.55,"50.942.051/0001-00 / RADIO DIFUSORA JUNDIAIENSE LTDA",2110.08,1910.68,"DIFUSORA AM",,Rádio,Regional,"JUNDIAI - SP"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004134/2019-66,Publicidade,Midia,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801442,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",320583,13581,1556.1,1520.59,"10.318.456/0001-58 / ASSOCIACAO PLANETA DA CRIANCA - PLANETA",1310.4,1310.4,"SAO GONÇALO AM - AMERICA",,Rádio,Regional,"FEIRA DE SANTANA - BA"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004134/2019-66,Publicidade,Midia,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801442,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",320582,13580,1135.82,1109.9,"22.918.262/0001-72 / REDE DE RADIO E TELEVISAO VALE DO XINGU LTDA",956.48,956.48,"REDE DE RADIO E TELEVISAO VALE DO XINGU",,Rádio,Regional,"ALTAMIRA - PA"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004135/2019-19,Publicidade,Midia,2019/12/18,2019/12/27,2017NE800246,Institucional,107783,2019OB801441,,AVANÇAR,320332,13525,971.85,949.68,"08.240.825/0001-95 / RADIO CINDERELA DE CAMPO BOM LTDA.",818.4,818.4,"CINDERELA AM",,Rádio,Regional,"CAMPO BOM - RS"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004135/2019-19,Publicidade,Midia,2019/12/18,2019/12/27,2017NE800246,Institucional,107783,2019OB801441,,"Campanha de Fim de Ano",320580,13578,1396.5,1364.63,"06.035.572/0001-92 / CENTRAL SHOPPING GOSPEL COMERCIAL LTDA",1176,1064.87,"NACIONAL GOSPEL 920 AM (EX NACIONAL AM)",,Rádio,Regional,"INDAIATUBA - SP"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004135/2019-19,Publicidade,Midia,2019/12/18,2019/12/27,2017NE800246,Institucional,107783,2019OB801441,,"Campanha de Fim de Ano",320579,13577,1111.5,1086.14,"10.318.456/0001-58 / ASSOCIACAO PLANETA DA CRIANCA - PLANETA",936,936,"SAO GONÇALO AM - AMERICA",,Rádio,Regional,"FEIRA DE SANTANA - BA"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004145/2019-46,Publicidade,Produção,2019/12/19,2019/12/27,2019NE800085,Institucional,107783,2019OB801440,,"MATERIAIS INSTITUCIONAIS 2019",320647,13603,313.09,311.56,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",302.5,302.5,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004145/2019-46,Publicidade,Produção,2019/12/19,2019/12/27,2019NE800002,Institucional,107783,2019OB801440,,"MATERIAIS INSTITUCIONAIS 2019",320652,13608,4398.75,4377.25,"15.871.177/0001-30 / PICTURE HOUSE PRODUCOES EIRELI",4250,3848.37,,,"IMAGEM - AQUISICAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004145/2019-46,Publicidade,Produção,2019/12/19,2019/12/27,2019NE800002,Institucional,107783,2019OB801440,,"MATERIAIS INSTITUCIONAIS 2019",320651,13607,597.71,594.79,"33.458.423/0001-09 / MULTCOR ARTES GRAFICAS EIRELI",577.5,577.5,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004145/2019-46,Publicidade,Produção,2019/12/19,2019/12/27,2019NE800002,Institucional,107783,2019OB801440,,"MATERIAIS INSTITUCIONAIS 2019",320650,13606,543.38,540.72,"33.458.423/0001-09 / MULTCOR ARTES GRAFICAS EIRELI",525,525,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004145/2019-46,Publicidade,Produção,2019/12/19,2019/12/27,2019NE800002,Institucional,107783,2019OB801440,,"MATERIAIS INSTITUCIONAIS 2019",320649,13605,1593.9,1586.11,"33.458.423/0001-09 / MULTCOR ARTES GRAFICAS EIRELI",1540,1540,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004145/2019-46,Publicidade,Produção,2019/12/19,2019/12/27,2019NE800002,Institucional,107783,2019OB801440,,"MATERIAIS INSTITUCIONAIS 2019",320648,13604,1449,1441.92,"33.458.423/0001-09 / MULTCOR ARTES GRAFICAS EIRELI",1400,1400,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004146/2019-91,Publicidade,Produção,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801439,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",320644,13600,672,672,"33.458.423/0001-09 / MULTCOR ARTES GRAFICAS EIRELI",672,672,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004146/2019-91,Publicidade,Produção,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801439,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",320646,13602,480,480,"33.458.423/0001-09 / MULTCOR ARTES GRAFICAS EIRELI",480,480,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004146/2019-91,Publicidade,Produção,2019/12/18,2019/12/27,2018NE800190,Institucional,107783,2019OB801439,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",320645,13601,1920,1920,"33.458.423/0001-09 / MULTCOR ARTES GRAFICAS EIRELI",1920,1920,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004147/2019-35,Publicidade,Produção,2019/12/19,2019/12/27,2019NE800002,Institucional,107783,2019OB801432,,"Brasil no exterior",318655,13157,78480,78480,"22.380.095/0001-59 / VAPT FILMES PRODUCOES EIRELI",78480,71063.64,,,"AUDIO E VIDEO - VERSÃO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004148/2019-80,Publicidade,Produção,2019/12/18,2019/12/27,2019NE800085,Institucional,107783,2019OB801434,,"Brasil no exterior II - Pós-prorrogação contratual",320653,13609,842.23,842.23,"23.831.065/0001-84 / SPACE TECNOLOGIA E INTELIGENCIA LTDA",842.23,842.23,,,"INTERNET - ADSERVER/RICH MEDIA",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004148/2019-80,Publicidade,Produção,2019/12/18,2019/12/27,2019NE800085,Institucional,107783,2019OB801434,,"Brasil no exterior II - Pós-prorrogação contratual",320654,13610,17300,17300,"23.831.065/0001-84 / SPACE TECNOLOGIA E INTELIGENCIA LTDA",17300,17300,,,"INTERNET - ADSERVER/RICH MEDIA",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004154/2019-37,Publicidade,Midia,2019/12/19,2019/12/27,2018NE800219,"Utilidade Pública",109684,2019OB801446,,"Programa Nacional de Imunização - PNI",304328,9453,249375,243685.31,"05.949.233/0001-59 / ITA BUS PUBLICIDADE EIRELI",210000,190155,ITABUS,,"Mídia Exterior",Regional,"RIO DE JANEIRO - RJ"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004154/2019-37,Publicidade,Midia,2019/12/19,2019/12/27,2018NE800219,"Utilidade Pública",109684,2019OB801446,,"Programa Nacional de Imunização - PNI",306860,10439,152296.87,152296.87,"15.360.000/0001-70 / OUTLED MIDIA DIGITAL LTDA",128250,128250,OUTLED,,"Mídia Exterior Digital",Regional,"FORTALEZA - CE"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004154/2019-37,Publicidade,Midia,2019/12/19,2019/12/27,2018NE800190,Institucional,107783,2019OB801446,,"Segurança Pública",307952,10924,83041.87,81147.21,"15.360.000/0001-70 / OUTLED MIDIA DIGITAL LTDA",69930,69930,OUTLED,,"Mídia Exterior Digital",Regional,"FORTALEZA - CE"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004154/2019-37,Publicidade,Midia,2019/12/19,2019/12/27,2018NE800190,Institucional,107783,2019OB801446,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",307288,10579,83041.87,81147.21,"15.360.000/0001-70 / OUTLED MIDIA DIGITAL LTDA",69930,69930,OUTLED,,"Mídia Exterior Digital",Regional,"FORTALEZA - CE"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004133/2019-11,Publicidade,Midia,2019/12/18,2019/12/26,2019NE800085,Institucional,107783,2019OB801422,,"Ação de oportunidade - Dia da Amazônia",319622,13408,45854.16,,"GB226162332(GBR) / Financial Times",45854.16,,"Financial Times",,Internet,Exterior,"ESTADOS UNIDOS"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004000/2019-45,Publicidade,Midia,2019/12/06,2019/12/20,2019NE800085,Institucional,107783,2019OB801417/801411,,"Brasil no exterior II - Pós-prorrogação contratual",318879,13192,1074611.85,1050012.49,"42-1732443(USA) / LATCOM LLC",904374.11,904374.11,"LATCOM LLC",,"Mídia Exterior Digital",Exterior,"NORUEGA,ESTADOS UNIDOS"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004048/2019-53,Publicidade,Midia,2019/12/11,2019/12/20,2019NE800085,Institucional,107783,2019OB801419/801415,,"Brasil no exterior II - Pós-prorrogação contratual",317099,13257,246759.28,241133.96,"133417984(USA) / BLOOMBERG LP",207829.71,207829.71,"BLOOMBERG LP",,Televisão,Exterior,"ESTADOS UNIDOS"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004080/2019-39,Publicidade,Midia,2019/12/13,2019/12/20,2019NE800085,Institucional,107783,2019OB801416/801410,,"Brasil no exterior II - Pós-prorrogação contratual",318885,13198,2472384.3,2415787.99,"611580904(USA) / US MEDIA CONSULTING LLC",2080714.4,2080714.4,"US MEDIA CONSULTING LLC - INTERNACIONAL",,"Mídia Exterior Digital",Exterior,"REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004081/2019-83,Publicidade,Midia,2019/12/13,2019/12/20,2019NE800085,Institucional,107783,19OB801418/1412/1413/1414,,"Brasil no exterior II - Pós-prorrogação contratual",319400,13255,68236.3,66680.78,"133417984(USA) / BLOOMBERG LP",57471.46,57471.46,"BLOOMBERG LP",,Televisão,Exterior,"REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004081/2019-83,Publicidade,Midia,2019/12/13,2019/12/20,2019NE800085,Institucional,107783,19OB801418/1412/1413/1414,,"Brasil no exterior II - Pós-prorrogação contratual",319602,13406,76061.01,74316.29,"133417984(USA) / BLOOMBERG LP",63986.87,63986.87,"BLOOMBERG LP",,Televisão,Exterior,"REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004081/2019-83,Publicidade,Midia,2019/12/13,2019/12/20,2019NE800085,Institucional,107783,19OB801418/1412/1413/1414,,"Brasil no exterior II - Pós-prorrogação contratual",319599,13404,212662.93,207784.73,"133417984(USA) / BLOOMBERG LP",178903.78,178903.78,"BLOOMBERG LP",,Televisão,Exterior,"ESTADOS UNIDOS"
