Período,"Quantidade de Pagamentos servidores em atividade","Situação Funcional","Sigla Carreira","Nome Carreira","Valor de Despesa de Pessoal sem encargos patronais","Valor de Despesa de Pessoal com encargos patronais"
2020/03/01,178,"Contrato Temporário",ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",464496.1799999997,564564.49
2020/03/01,52,"Contrato Temporário",TUS,"TECNICO UNIVERSITARIO DA SAUDE",76497.66999999998,93628.07999999997
2020/03/01,126,Efetivo,MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",1856090.2200000004,2214552.87
2020/03/01,340,Efetivo,TAS,"TECNICO DE ATENCAO A SAUDE",1182628.6400000006,1541951.4900000002
2020/04/01,673,Efetivo,TGS,"TECNICO DE GESTAO DA SAUDE",1864604.9100000036,2388881.4199999995
2020/04/01,1,"Contrato Temporário",AST,"ANALISTA DE SAUDE E TECNOLOGIA",4474.360000000001,5436.35
2020/04/01,1016,Efetivo,AUSS,"AUXILIAR DE SEGURIDADE SOCIAL",3459582.35,4303739.62
2020/04/01,17,"Contrato Temporário",MP,"MEDICO PERITO",75339.19999999998,92328.84000000003
2020/04/01,337,Efetivo,MEDSS,"MEDICO DA AREA DE SEGURIDADE SOCIAL",4217356.989999999,4960713.129999996
2020/04/01,56,"Contrato Temporário",AUS,"ANALISTA UNIVERSITARIO DA SAUDE",122388.18000000004,149155.8
2020/04/01,123,Efetivo,MP,"MEDICO PERITO",694621.9099999999,846307.5299999999
2020/04/01,253,Efetivo,AAS,"ANALISTA DE ATENCAO A SAUDE",1164321.7600000007,1515292.0199999996
2020/04/01,437,Efetivo,ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",1652070.5099999998,1937433.1599999992
2020/04/01,50,Efetivo,AUST,"AUXILIAR DE SAUDE E TECNOLOGIA",188071.94000000006,237201.69000000003
2020/04/01,17,"Contrato Temporário",MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",138012.9,166305.55999999997
2020/04/01,990,Efetivo,AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",5816857.950000001,7035881.409999986
2020/04/01,181,"Contrato Temporário",ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",448353.31999999995,545038.9000000001
2020/04/01,55,Efetivo,MADS,"MEDICO DA AREA DE DEFESA SOCIAL",542033.94,620664.36
2020/04/01,386,Efetivo,TST,"TECNICO DE SAUDE E TECNOLOGIA",1324609.7900000007,1549945.069999999
2020/04/01,1852,Efetivo,TOS,"TECNICO OPERACIONAL DA SAUDE",5354373.860000002,6450426.870000006
2020/04/01,429,Efetivo,AUAS,"AUXILIAR DE APOIO DA SAUDE",1501039.4799999997,1921489.8499999999
2020/04/01,596,Efetivo,TSS,"TECNICO DE SEGURIDADE SOCIAL",1441693.4899999988,1745148.3099999994
2020/04/01,93,Efetivo,MEDUN,"MEDICO UNIVERSITARIO",510008.45000000007,608714.38
2020/04/01,15,Efetivo,TEPS,"TECNICO EM EDUCACAO E PESQUISA EM SAUDE",35439.52,43708.93
2020/04/01,1380,Efetivo,EPGS,"ESPECIALISTA EM POLITICAS E GESTAO DA SAUDE",8376868.049999997,10302907.630000008
2020/04/01,56,Efetivo,AEPS,"ANALISTA EM EDUCACAO E PESQUISA EM SAUDE",367473.11,448233.9500000001
2020/04/01,334,Efetivo,TAS,"TECNICO DE ATENCAO A SAUDE",1139595.1300000013,1492944.5100000002
2020/04/01,23,Efetivo,AUHH,"AUXILIAR DE HEMATOLOGIA E HEMOTERAPIA",97143.43999999999,122873.37999999999
2020/04/01,1457,Efetivo,MED,MEDICO,16020431.890000002,19215504.219999988
2020/04/01,54,"Contrato Temporário",ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",217345.65000000014,262832.2699999999
2020/04/01,478,Efetivo,MAGAS,"MEDICO DA AREA DE GESTAO E ATENCAO A SAUDE",3338648.6600000015,4109303.4300000044
2020/04/01,843,"Contrato Temporário",MED,MEDICO,6014872.140000009,7374546.140000005
2020/04/01,125,Efetivo,MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",1783696.3300000008,2139028.360000001
2020/04/01,464,Efetivo,TUS,"TECNICO UNIVERSITARIO DA SAUDE",1341488.0099999995,1564598.7000000007
2020/04/01,137,Efetivo,AUS,"ANALISTA UNIVERSITARIO DA SAUDE",609283.2499999998,701839.7400000002
2020/04/01,471,Efetivo,ANSS,"ANALISTA DE SEGURIDADE SOCIAL",2454879.599999999,3002986.510000001
2020/04/01,641,"Contrato Temporário",MEDRE,"MEDICO RESIDENTE",2176213.930000001,2611474.22000001
2020/04/01,6,"Contrato Temporário",TST,"TECNICO DE SAUDE E TECNOLOGIA",14415.509999999998,17599.98
2020/04/01,110,"Contrato Temporário",TUS,"TECNICO UNIVERSITARIO DA SAUDE",106373.73999999987,129877.03
2020/04/01,1120,"Contrato Temporário",PENF,"PROFISSIONAL DE ENFERMAGEM",3181039.0000000037,3922736.67
2020/04/01,5214,Efetivo,PENF,"PROFISSIONAL DE ENFERMAGEM",17720481.469999988,21386437.39000001
2020/04/01,273,Efetivo,AST,"ANALISTA E PESQUISADOR DE SAUDE E TECNOLOGIA",2104857.17,2542177.420000001
2020/04/01,201,Efetivo,ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",1257531.4699999997,1483252.9899999998
2020/04/01,566,"Contrato Temporário",TOS,"TECNICO OPERACIONAL DA SAUDE",1173843.9900000012,1450623.4999999995
2020/04/01,309,"Contrato Temporário",AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",1295930.4999999988,1593519.1900000002
2020/04/01,726,Efetivo,AUGAS,"AUXILIAR DE APOIO A GESTAO E ATENCAO A SAUDE",1679195.79,2159623.1799999983
2020/05/01,14,"Contrato Temporário",MP,"MEDICO PERITO",60876.18999999999,74637.53000000001
2020/05/01,123,Efetivo,MP,"MEDICO PERITO",691978.2499999995,844072.5999999999
2020/05/01,1455,Efetivo,MED,MEDICO,16591379.459999988,19785631.679999996
2020/05/01,1847,Efetivo,TOS,"TECNICO OPERACIONAL DA SAUDE",5316532.849999999,6406492.660000003
2020/05/01,250,Efetivo,AAS,"ANALISTA DE ATENCAO A SAUDE",1151422.2000000002,1500221.79
2020/05/01,1011,Efetivo,AUSS,"AUXILIAR DE SEGURIDADE SOCIAL",3428011.1899999976,4264300.390000001
2020/05/01,137,Efetivo,AUS,"ANALISTA UNIVERSITARIO DA SAUDE",606699.4400000003,698712.3899999999
2020/05/01,893,"Contrato Temporário",MED,MEDICO,6969400.279999996,8544714.790000001
2020/05/01,54,Efetivo,MADS,"MEDICO DA AREA DE DEFESA SOCIAL",544567.21,624623.3
2020/05/01,1381,Efetivo,EPGS,"ESPECIALISTA EM POLITICAS E GESTAO DA SAUDE",8347311.820000004,10261428.97000001
2020/05/01,437,Efetivo,ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",1619761.3900000008,1905127.8699999987
2020/05/01,56,Efetivo,AEPS,"ANALISTA EM EDUCACAO E PESQUISA EM SAUDE",371334.63,452370.7799999999
2020/05/01,16,"Contrato Temporário",MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",127547.44,153694.71000000002
2020/05/01,1184,"Contrato Temporário",PENF,"PROFISSIONAL DE ENFERMAGEM",3351738.5999999987,4130877.780000001
2020/05/01,181,"Contrato Temporário",ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",442412.89999999944,537781.3800000001
2020/05/01,334,Efetivo,MEDSS,"MEDICO DA AREA DE SEGURIDADE SOCIAL",3706254.4900000016,4438325.27
2020/05/01,596,Efetivo,TSS,"TECNICO DE SEGURIDADE SOCIAL",1476910.5499999993,1781015.9799999986
2020/05/01,330,Efetivo,TAS,"TECNICO DE ATENCAO A SAUDE",1121959.0200000003,1470387.0099999995
2020/05/01,5207,Efetivo,PENF,"PROFISSIONAL DE ENFERMAGEM",17593362.619999994,21224377.31000001
2020/05/01,6,"Contrato Temporário",TST,"TECNICO DE SAUDE E TECNOLOGIA",15380.87,18828.07
2020/05/01,386,Efetivo,TST,"TECNICO DE SAUDE E TECNOLOGIA",1295130.5599999996,1520694.150000001
2020/05/01,723,Efetivo,AUGAS,"AUXILIAR DE APOIO A GESTAO E ATENCAO A SAUDE",1663812.0100000005,2142269.54
2020/05/01,93,Efetivo,MEDUN,"MEDICO UNIVERSITARIO",513314.98999999993,612184.6399999998
2020/05/01,54,"Contrato Temporário",ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",214559.34000000008,259522.42
2020/05/01,639,"Contrato Temporário",MEDRE,"MEDICO RESIDENTE",2131343.270000002,2557629.4800000093
2020/05/01,133,"Contrato Temporário",TUS,"TECNICO UNIVERSITARIO DA SAUDE",153661.7399999999,187428.72
2020/05/01,466,Efetivo,MAGAS,"MEDICO DA AREA DE GESTAO E ATENCAO A SAUDE",3218898.03,3964058.5800000015
2020/05/01,464,Efetivo,TUS,"TECNICO UNIVERSITARIO DA SAUDE",1336222.6599999995,1560890.9299999992
2020/05/01,1,"Contrato Temporário",AST,"ANALISTA DE SAUDE E TECNOLOGIA",4421.88,5372.58
2020/05/01,670,Efetivo,TGS,"TECNICO DE GESTAO DA SAUDE",1828058.6200000015,2342770.859999996
2020/05/01,50,Efetivo,AUST,"AUXILIAR DE SAUDE E TECNOLOGIA",183152.21,232507.25999999995
2020/05/01,201,Efetivo,ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",1237587.2399999993,1463153.2300000002
2020/05/01,986,Efetivo,AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",5776911.7500000065,6991046.200000011
2020/05/01,469,Efetivo,ANSS,"ANALISTA DE SEGURIDADE SOCIAL",2373410.310000001,2919648.6399999997
2020/05/01,23,Efetivo,AUHH,"AUXILIAR DE HEMATOLOGIA E HEMOTERAPIA",96528.34000000004,122251.79000000002
2020/05/01,15,Efetivo,TEPS,"TECNICO EM EDUCACAO E PESQUISA EM SAUDE",35439.52,43708.92999999999
2020/05/01,422,Efetivo,AUAS,"AUXILIAR DE APOIO DA SAUDE",1467319.7100000002,1879597.33
2020/05/01,322,"Contrato Temporário",AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",1363904.3899999987,1676761.3800000001
2020/05/01,125,Efetivo,MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",1779102.4199999997,2135223.8000000007
2020/05/01,63,"Contrato Temporário",AUS,"ANALISTA UNIVERSITARIO DA SAUDE",142070.61,173082.09000000003
2020/05/01,273,Efetivo,AST,"ANALISTA E PESQUISADOR DE SAUDE E TECNOLOGIA",2091140.6099999999,2529150.9600000014
2020/05/01,573,"Contrato Temporário",TOS,"TECNICO OPERACIONAL DA SAUDE",1147696.96,1419524.5199999998
2020/06/01,121,Efetivo,MP,"MEDICO PERITO",700164.3899999999,848909.5800000004
2020/06/01,1,"Contrato Temporário",AST,"ANALISTA DE SAUDE E TECNOLOGIA",4518.46,5489.93
2020/06/01,5207,Efetivo,PENF,"PROFISSIONAL DE ENFERMAGEM",18420879.17999997,22039134.669999987
2020/06/01,435,Efetivo,ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",1654594.9799999997,1938850.6200000003
2020/06/01,638,"Contrato Temporário",MEDRE,"MEDICO RESIDENTE",2130029.750000001,2555215.4500000095
2020/06/01,913,"Contrato Temporário",MED,MEDICO,8005448.72,9744674.570000006
2020/06/01,50,Efetivo,AUST,"AUXILIAR DE SAUDE E TECNOLOGIA",188910.51,238438.32000000007
2020/06/01,137,Efetivo,AUS,"ANALISTA UNIVERSITARIO DA SAUDE",620233.2699999998,713481.3499999999
2020/06/01,458,Efetivo,MAGAS,"MEDICO DA AREA DE GESTAO E ATENCAO A SAUDE",3223541.040000001,3961167.0400000014
2020/06/01,578,"Contrato Temporário",TOS,"TECNICO OPERACIONAL DA SAUDE",1312594.1699999997,1622897.4400000002
2020/06/01,1382,Efetivo,EPGS,"ESPECIALISTA EM POLITICAS E GESTAO DA SAUDE",8509131.100000007,10426526.090000013
2020/06/01,181,"Contrato Temporário",ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",455906.6800000002,554074.82
2020/06/01,248,Efetivo,AAS,"ANALISTA DE ATENCAO A SAUDE",1157104.340000001,1501864.08
2020/06/01,3,"Contrato Temporário",MP,"MEDICO PERITO",9392.400000000001,11439.880000000001
2020/06/01,722,Efetivo,AUGAS,"AUXILIAR DE APOIO A GESTAO E ATENCAO A SAUDE",1686703.370000002,2167855.369999999
2020/06/01,466,Efetivo,ANSS,"ANALISTA DE SEGURIDADE SOCIAL",2479013.349999998,3032591.409999999
2020/06/01,23,Efetivo,AUHH,"AUXILIAR DE HEMATOLOGIA E HEMOTERAPIA",98808.63000000002,124516.36999999998
2020/06/01,124,Efetivo,MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",1797422.5599999996,2147874.889999999
2020/06/01,17,"Contrato Temporário",MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",137056.84,165153.53000000003
2020/06/01,670,Efetivo,TGS,"TECNICO DE GESTAO DA SAUDE",1889022.9500000032,2408102.6599999988
2020/06/01,271,Efetivo,AST,"ANALISTA E PESQUISADOR DE SAUDE E TECNOLOGIA",2176044.9499999993,2613611.3199999994
2020/06/01,1847,Efetivo,TOS,"TECNICO OPERACIONAL DA SAUDE",5521380.580000002,6613609.880000006
2020/06/01,1451,Efetivo,MED,MEDICO,17508021.82,20690682.3
2020/06/01,1009,Efetivo,AUSS,"AUXILIAR DE SEGURIDADE SOCIAL",3531852.28,4368475.170000001
2020/06/01,15,Efetivo,TEPS,"TECNICO EM EDUCACAO E PESQUISA EM SAUDE",36100.149999999994,44369.56
2020/06/01,325,Efetivo,TAS,"TECNICO DE ATENCAO A SAUDE",1145851.6600000008,1494949.7500000002
2020/06/01,54,"Contrato Temporário",ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",222520.02000000008,269059.97
2020/06/01,421,Efetivo,AUAS,"AUXILIAR DE APOIO DA SAUDE",1468478.5199999996,1873505.0000000007
2020/06/01,65,"Contrato Temporário",AUS,"ANALISTA UNIVERSITARIO DA SAUDE",162342.31999999998,197588.65000000002
2020/06/01,984,Efetivo,AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",5977723.4,7194210.930000003
2020/06/01,140,"Contrato Temporário",TUS,"TECNICO UNIVERSITARIO DA SAUDE",207295.34000000008,253039.3300000001
2020/06/01,6,"Contrato Temporário",TST,"TECNICO DE SAUDE E TECNOLOGIA",15320.589999999997,18744.2
2020/06/01,333,"Contrato Temporário",AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",1590077.6600000001,1954943.6999999997
2020/06/01,201,Efetivo,ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",1266513.0600000008,1492381.9499999988
2020/06/01,56,Efetivo,AEPS,"ANALISTA EM EDUCACAO E PESQUISA EM SAUDE",385584.6299999999,466656.1000000001
2020/06/01,385,Efetivo,TST,"TECNICO DE SAUDE E TECNOLOGIA",1373724.3399999996,1599501.3800000008
2020/06/01,54,Efetivo,MADS,"MEDICO DA AREA DE DEFESA SOCIAL",543603.71,623686.9600000001
2020/06/01,1230,"Contrato Temporário",PENF,"PROFISSIONAL DE ENFERMAGEM",3924544.260000005,4838731.419999998
2020/06/01,464,Efetivo,TUS,"TECNICO UNIVERSITARIO DA SAUDE",1360101.34,1584835.9700000007
2020/06/01,333,Efetivo,MEDSS,"MEDICO DA AREA DE SEGURIDADE SOCIAL",3827486.85,4555266.16
2020/06/01,93,Efetivo,MEDUN,"MEDICO UNIVERSITARIO",524409.2599999998,622898.02
2020/06/01,595,Efetivo,TSS,"TECNICO DE SEGURIDADE SOCIAL",1601590.0100000007,1906750.1700000004
2020/07/01,3,"Contrato Temporário",MP,"MEDICO PERITO",9392.400000000001,11439.880000000001
2020/07/01,1448,Efetivo,MED,MEDICO,17194313.699999996,20382653.56
2020/07/01,123,Efetivo,MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",1843058.3700000008,2187529.1
2020/07/01,1305,"Contrato Temporário",PENF,"PROFISSIONAL DE ENFERMAGEM",4064671.69,5009334.239999997
2020/07/01,243,Efetivo,AAS,"ANALISTA DE ATENCAO A SAUDE",1147451.1600000004,1483551.59
2020/07/01,1,"Contrato Temporário",TST,"TECNICO DE SAUDE E TECNOLOGIA",2701.37,3282.17
2020/07/01,71,"Contrato Temporário",AUS,"ANALISTA UNIVERSITARIO DA SAUDE",179442.13999999998,218267.02000000005
2020/07/01,464,Efetivo,ANSS,"ANALISTA DE SEGURIDADE SOCIAL",2398096.3699999996,2934485.409999998
2020/07/01,416,Efetivo,AUAS,"AUXILIAR DE APOIO DA SAUDE",1467063.4500000007,1871989.7200000004
2020/07/01,1000,Efetivo,AUSS,"AUXILIAR DE SEGURIDADE SOCIAL",3474555.7100000046,4307133.469999999
2020/07/01,54,Efetivo,MADS,"MEDICO DA AREA DE DEFESA SOCIAL",656608.9899999999,746553.8999999999
2020/07/01,1380,Efetivo,EPGS,"ESPECIALISTA EM POLITICAS E GESTAO DA SAUDE",8584961.64000001,10498121.70999999
2020/07/01,1845,Efetivo,TOS,"TECNICO OPERACIONAL DA SAUDE",5470126.919999996,6568951.290000007
2020/07/01,93,Efetivo,MEDUN,"MEDICO UNIVERSITARIO",538619.8700000002,637744.8800000001
2020/07/01,385,Efetivo,TST,"TECNICO DE SAUDE E TECNOLOGIA",1384042.289999999,1610168.1599999995
2020/07/01,15,Efetivo,TEPS,"TECNICO EM EDUCACAO E PESQUISA EM SAUDE",36707.2,44976.61000000001
2020/07/01,32,"Contrato Temporário",MADS,"MEDICO DA AREA DE DEFESA SOCIAL",222671.49999999997,276366.66
2020/07/01,978,Efetivo,AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",5972104.119999996,7188326.499999997
2020/07/01,358,"Contrato Temporário",AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",1590195.1299999987,1954430.9199999997
2020/07/01,912,"Contrato Temporário",MED,MEDICO,7708191.300000001,9450599.550000006
2020/07/01,434,Efetivo,ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",1703160.4600000011,1985047.7099999995
2020/07/01,121,Efetivo,MP,"MEDICO PERITO",706695.0599999998,854933.8900000004
2020/07/01,18,"Contrato Temporário",MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",144879.64000000004,174657.34
2020/07/01,50,Efetivo,AUST,"AUXILIAR DE SAUDE E TECNOLOGIA",195812.59,245444.35
2020/07/01,5201,Efetivo,PENF,"PROFISSIONAL DE ENFERMAGEM",18293184.56999997,21939996.090000007
2020/07/01,269,Efetivo,AST,"ANALISTA E PESQUISADOR DE SAUDE E TECNOLOGIA",2170405.1,2593095.3700000006
2020/07/01,23,Efetivo,AUHH,"AUXILIAR DE HEMATOLOGIA E HEMOTERAPIA",95954.34,121696.79000000001
2020/07/01,595,Efetivo,TSS,"TECNICO DE SEGURIDADE SOCIAL",1472787.6700000002,1776047.1300000018
2020/07/01,463,Efetivo,TUS,"TECNICO UNIVERSITARIO DA SAUDE",1385686.6499999987,1610356.3800000008
2020/07/01,187,"Contrato Temporário",ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",479589.9300000006,583691.7700000004
2020/07/01,320,Efetivo,TAS,"TECNICO DE ATENCAO A SAUDE",1115168.9700000004,1457275.26
2020/07/01,56,Efetivo,AEPS,"ANALISTA EM EDUCACAO E PESQUISA EM SAUDE",379055.9100000001,460127.38
2020/07/01,136,Efetivo,AUS,"ANALISTA UNIVERSITARIO DA SAUDE",632388.9500000003,724682.8599999996
2020/07/01,331,Efetivo,MEDSS,"MEDICO DA AREA DE SEGURIDADE SOCIAL",3945493.159999998,4668836.9399999995
2020/07/01,661,Efetivo,TGS,"TECNICO DE GESTAO DA SAUDE",1834461.6900000037,2341390.2399999998
2020/07/01,715,Efetivo,AUGAS,"AUXILIAR DE APOIO A GESTAO E ATENCAO A SAUDE",1702059.510000002,2176718.1099999994
2020/07/01,596,"Contrato Temporário",TOS,"TECNICO OPERACIONAL DA SAUDE",1274836.0500000003,1575824.799999999
2020/07/01,58,"Contrato Temporário",ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",241019.44999999998,291200.47
2020/07/01,637,"Contrato Temporário",MEDRE,"MEDICO RESIDENTE",2122628.6500000027,2547156.9200000092
2020/07/01,143,"Contrato Temporário",TUS,"TECNICO UNIVERSITARIO DA SAUDE",198622.4099999999,242000.28999999998
2020/07/01,456,Efetivo,MAGAS,"MEDICO DA AREA DE GESTAO E ATENCAO A SAUDE",3227811.7200000016,3957370.1400000015
2020/07/01,201,Efetivo,ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",1310919.639999999,1536902.1599999995
2020/08/01,410,Efetivo,AUAS,"AUXILIAR DE APOIO DA SAUDE",1430240.830000001,1837474.2300000007
2020/08/01,1365,"Contrato Temporário",PENF,"PROFISSIONAL DE ENFERMAGEM",3978020.9500000007,4902901.010000001
2020/08/01,243,Efetivo,AAS,"ANALISTA DE ATENCAO A SAUDE",1123295.5000000005,1459309.0199999998
2020/08/01,714,Efetivo,AUGAS,"AUXILIAR DE APOIO A GESTAO E ATENCAO A SAUDE",1661015.1500000022,2138175.229999999
2020/08/01,330,Efetivo,MEDSS,"MEDICO DA AREA DE SEGURIDADE SOCIAL",3745379.66,4445566.990000002
2020/08/01,19,"Contrato Temporário",MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",146932.85,177146.91999999998
2020/08/01,23,Efetivo,AUHH,"AUXILIAR DE HEMATOLOGIA E HEMOTERAPIA",93975.39000000001,120057.60999999999
2020/08/01,136,Efetivo,AUS,"ANALISTA UNIVERSITARIO DA SAUDE",608599.9799999997,699391.7000000001
2020/08/01,384,"Contrato Temporário",AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",1744058.2999999998,2143702.689999999
2020/08/01,934,"Contrato Temporário",MED,MEDICO,7689994.609999998,9423882.520000003
2020/08/01,54,"Contrato Temporário",MADS,"MEDICO DA AREA DE DEFESA SOCIAL",344985.86,429045.41999999987
2020/08/01,1381,Efetivo,EPGS,"ESPECIALISTA EM POLITICAS E GESTAO DA SAUDE",8509010.14000001,10436688.210000016
2020/08/01,56,Efetivo,AEPS,"ANALISTA EM EDUCACAO E PESQUISA EM SAUDE",392747.36999999994,475017.8200000001
2020/08/01,1443,Efetivo,MED,MEDICO,16691108.140000004,19863815.579999994
2020/08/01,54,Efetivo,MADS,"MEDICO DA AREA DE DEFESA SOCIAL",617589.3,708648.5799999998
2020/08/01,15,Efetivo,TEPS,"TECNICO EM EDUCACAO E PESQUISA EM SAUDE",36905.27,45187.880000000005
